year,month,day, gfdl_pdo, ipsl_pdo, had_pdo, gfdl_pdo_fil10yr, ipsl_pdo_fil10yr, had_pdo_fil10yr
1993,3,16,-0.02784195,0.01864269,-0.001038895,-0.0137758,-0.001216075,-0.00673975
1993,4,16,-0.02616479,0.02597451,-0.01210468,-0.01398817,-0.00119586,-0.006865209
1993,5,16,-0.03662979,0.0336374,-0.01575605,-0.01421433,-0.001385035,-0.006868481
1993,6,16,-0.04203864,0.007563336,-0.02210248,-0.01445119,-0.001563482,-0.006505693
1993,7,16,-0.01547264,0.0003223545,-0.02090879,-0.01474787,-0.001243667,-0.006277626
1993,8,16,-0.01838423,-0.011972,-0.01366925,-0.0151051,-0.0009403101,-0.006025973
1993,9,16,-0.006383313,-0.01889554,-0.006612123,-0.01521258,-0.0006306023,-0.005777169
1993,10,16,-0.01294316,0.004472761,-0.009175819,-0.01531825,-0.0007637707,-0.005576271
1993,11,16,-0.03066979,0.0275946,0.003249806,-0.01577328,-0.0006806132,-0.005685432
1993,12,16,-0.02285984,0.03485465,-0.01502615,-0.01610735,-0.0006597845,-0.00577985
1994,1,16,-0.03006316,0.03147317,-0.02992551,-0.01658151,-0.000741839,-0.005875179
1994,2,16,-0.03913407,0.02726969,-0.0209711,-0.01703466,-0.000749653,-0.00595182
1994,3,16,-0.03948373,0.0258274,-0.02315207,-0.0174554,-0.0006273869,-0.006026715
1994,4,16,-0.04240101,0.01973613,-0.01943095,-0.01780664,-0.0005034336,-0.006073034
1994,5,16,-0.04558034,0.01830692,-0.02295387,-0.01811329,-0.0001868038,-0.006362523
1994,6,16,-0.04440273,0.03283161,-0.02959453,-0.01826232,0.0001442494,-0.00660808
1994,7,16,-0.04647651,-0.02321143,-0.02439174,-0.01838912,0.0002257625,-0.006854166
1994,8,16,-0.03250359,-0.03632397,-0.01373534,-0.01844507,0.0007960897,-0.00722495
1994,9,16,-0.02830913,-0.04466734,-0.005395931,-0.01856728,0.001105671,-0.007657167
1994,10,16,-0.03355688,-0.02264635,-0.0239164,-0.01845358,0.00115229,-0.008106668
1994,11,16,-0.04108435,-0.002680767,-0.01101207,-0.0183286,0.0014984,-0.008390222
1994,12,16,-0.02966543,0.008394222,0.005505634,-0.01834341,0.001766473,-0.008559015
1995,1,16,-0.04397216,-0.0115824,0.00718553,-0.01844892,0.001977517,-0.00878524
1995,2,16,-0.05869619,-0.009313396,-0.01368531,-0.01843204,0.002083953,-0.009094139
1995,3,16,-0.07346822,-0.00656793,-0.0459122,-0.0183872,0.001976429,-0.009472862
1995,4,16,-0.0720188,0.002144716,-0.05796238,-0.01830611,0.001803361,-0.009770398
1995,5,16,-0.06743138,-0.008761272,-0.07351855,-0.01794081,0.00178429,-0.009937022
1995,6,16,-0.05051517,-0.007406569,-0.09013907,-0.01767268,0.001852822,-0.01009941
1995,7,16,-0.03775889,0.004488764,-0.1012276,-0.01748101,0.002001786,-0.01013326
1995,8,16,-0.03861222,0.002477035,-0.08693961,-0.01738362,0.002341371,-0.01012513
1995,9,16,-0.04424269,-0.00371257,-0.08922159,-0.01752783,0.002603441,-0.01042132
1995,10,16,-0.03607499,-0.008047149,-0.08466833,-0.01775542,0.002648405,-0.01065971
1995,11,16,-0.04100092,-0.006745919,-0.05233156,-0.01779412,0.002455719,-0.01073958
1995,12,16,-0.03367221,-0.004130538,-0.03874928,-0.01772607,0.002210141,-0.01071538
1996,1,16,-0.03832386,0.005759758,-0.04362318,-0.01766245,0.002090871,-0.01078181
1996,2,16,-0.04276765,0.01348333,-0.0390374,-0.01757774,0.001936428,-0.01089151
1996,3,16,-0.03445378,0.02402056,-0.04804411,-0.01758803,0.001701239,-0.0111771
1996,4,16,-0.02313429,0.04435168,-0.04406969,-0.01763766,0.001554841,-0.01169952
1996,5,16,-0.008797607,0.04809027,-0.04661648,-0.01780919,0.001560999,-0.0122469
1996,6,16,0.001631167,0.03903885,-0.05643829,-0.01778308,0.001803284,-0.01314768
1996,7,16,0.01982348,0.01502375,-0.03778461,-0.01772557,0.002237706,-0.01378742
1996,8,16,0.008122002,-0.001337549,-0.03925704,-0.01749894,0.002688562,-0.01435859
1996,9,16,-0.00740078,0.001775619,-0.03634592,-0.01750495,0.002858057,-0.01494775
1996,10,16,-0.01220684,0.01323575,-0.02744967,-0.01739565,0.002968827,-0.01539424
1996,11,16,-0.00801159,0.02511732,-0.01266704,-0.0171032,0.002893556,-0.01592312
1996,12,16,-0.01183699,0.01174604,-0.02343606,-0.01675745,0.002755473,-0.01626853
1997,1,16,-0.01372005,0.0157941,-0.02200607,-0.01645996,0.002735336,-0.01655252
1997,2,16,-0.007084884,0.02597138,-0.01617638,-0.01613828,0.002840908,-0.01669427
1997,3,16,-0.004181,0.03091235,-0.02592672,-0.0158475,0.002995261,-0.01667664
1997,4,16,0.001945035,0.02981961,-0.03681501,-0.01562507,0.00312257,-0.01675124
1997,5,16,0.02033637,0.02728005,-0.03697539,-0.01552149,0.003376862,-0.01704589
1997,6,16,0.03457423,0.02617116,-0.03030123,-0.0154192,0.003670244,-0.01711526
1997,7,16,0.02383046,0.01213865,-0.01534967,-0.01524047,0.004003242,-0.01733001
1997,8,16,0.012614,-0.01038664,-0.000434517,-0.01505848,0.004479568,-0.01759296
1997,9,16,0.007463611,-0.01539717,-0.01463925,-0.01483942,0.0051643,-0.01763789
1997,10,16,-0.007287469,0.02182304,-0.01235343,-0.01469198,0.005633862,-0.0175365
1997,11,16,-0.01600827,0.02807725,-0.00416129,-0.01465351,0.005718594,-0.01730606
1997,12,16,-0.006168569,0.02883265,-0.006024817,-0.01450624,0.005589892,-0.01703705
1998,1,16,-0.006526216,0.01966355,-0.01729797,-0.01420045,0.005480663,-0.01670124
1998,2,16,-0.002647117,0.01278583,-0.01670129,-0.0137499,0.005500951,-0.01643285
1998,3,16,-0.002069434,0.007922256,-0.003887341,-0.01331647,0.005531486,-0.01640683
1998,4,16,-0.007847995,-0.002824105,0.007091486,-0.01283888,0.005470799,-0.01618844
1998,5,16,-0.0005975717,-0.02258841,0.003215249,-0.0121547,0.00532373,-0.01593063
1998,6,16,-0.004537707,-0.03667752,0.03759737,-0.01149967,0.005466107,-0.0155872
1998,7,16,0.001425105,-0.02149061,0.0298875,-0.01128986,0.005555301,-0.01533174
1998,8,16,-0.02597082,-0.02004631,0.04655012,-0.01112873,0.005748039,-0.01511047
1998,9,16,-0.00410167,0.006906185,0.05054649,-0.01080455,0.005813603,-0.01500642
1998,10,16,0.01064929,-0.008587636,0.05072128,-0.01053136,0.005919174,-0.01471016
1998,11,16,-0.005958494,0.01572668,0.02457418,-0.01008025,0.005760274,-0.01452268
1998,12,16,-0.01516608,0.001656248,0.02171004,-0.009685914,0.005593178,-0.01424819
1999,1,16,-0.03528568,0.0008762833,0.01633778,-0.009248821,0.005447873,-0.01388649
1999,2,16,-0.03715481,0.01649559,0.01944465,-0.008825728,0.005335283,-0.01356115
1999,3,16,-0.03803783,0.02238422,0.0188804,-0.008499181,0.005253744,-0.01312808
1999,4,16,-0.03889831,0.008663251,0.02071278,-0.008223146,0.005200086,-0.01266462
1999,5,16,-0.04501092,-0.001606513,0.01081354,-0.008002672,0.005269434,-0.01213881
1999,6,16,-0.04094826,-0.002024456,0.007577996,-0.007681186,0.005178337,-0.01159194
1999,7,16,-0.04410872,-0.007378551,0.003544277,-0.007402827,0.005426721,-0.01125018
1999,8,16,-0.03218641,0.02754396,-0.01394649,-0.007272068,0.005779268,-0.01096532
1999,9,16,-0.02173755,-0.003709955,-0.01469409,-0.007241299,0.006162991,-0.01078299
1999,10,16,0.007255319,-0.007457012,-0.007700164,-0.00727284,0.006285415,-0.01054814
1999,11,16,-0.005341054,0.01265045,-0.01298581,-0.007211483,0.006423842,-0.01016945
1999,12,16,-0.01514237,0.02652816,-0.004543931,-0.007158467,0.006414497,-0.009856693
2000,1,16,-0.02744425,0.03452693,-0.01187743,-0.00690424,0.00657994,-0.009649413
2000,2,16,-0.03087173,0.03357099,-0.01517578,-0.0064841,0.006688405,-0.009324863
2000,3,16,-0.03372212,0.01270479,-0.03055828,-0.005950978,0.006857392,-0.008770415
2000,4,16,-0.03390212,-0.004272116,-0.0267092,-0.005289009,0.006869782,-0.008217807
2000,5,16,-0.0103684,0.0050541,-0.008670414,-0.004597905,0.007056456,-0.007719002
2000,6,16,0.000299493,0.01586402,0.002981371,-0.003928199,0.007016137,-0.0073485
2000,7,16,-0.00752515,0.03430127,0.01284121,-0.003391307,0.006673849,-0.006896466
2000,8,16,-0.01513863,0.01008538,0.003027924,-0.002902363,0.006508657,-0.006516246
2000,9,16,-0.01788574,0.003872832,-0.01737184,-0.002407437,0.006589022,-0.006013903
2000,10,16,-0.03699873,0.001575409,-0.01154827,-0.002171604,0.006889999,-0.005295983
2000,11,16,-0.02677407,-0.008490998,-0.0004054066,-0.001818801,0.006991147,-0.004918824
2000,12,16,-0.01142344,-0.01438317,0.005825593,-0.00150007,0.006882581,-0.00471928
2001,1,16,-0.002527116,-0.005279067,-0.008953552,-0.00116923,0.00688068,-0.004607415
2001,2,16,-0.0008992041,-0.004437321,-0.008180715,-0.0008714049,0.006838064,-0.004463898
2001,3,16,-0.005587061,-0.01153835,-0.01628912,-0.0006141753,0.006730609,-0.004184418
