"","year","gfdl_sst_station","gfdl_sst_all","had_sst_station","had_sst_all","ipsl_sst_station","ipsl_sst_all","SST_CC_ann","sstGFDLbc","sstHADbc","sstIPSLbc","emean","recDevSST_GFDL","recDevSST_HAD","recDevSST_IPSL","recDevSST_EMEAN","recDevSST_GFDLbc","recDevSST_HADbc","recDevSST_IPSLbc","recDevSST_EMEANbc"
"73",2052,18.49082033,18.3197689,19.44400933,19.11884613,18.7699499,18.6460724,NA,17.436081272,18.3164876312,17.7988463696,17.8504717576,2.06032161935348,3.18809135126611,2.52501101260066,2.59114132774009,3.13840992243159,3.68644311150354,3.31265439877442,4.17944790269351
"74",2053,17.32346834,17.1967211,19.00352068,18.82221492,18.07935894,17.91351771,NA,16.313033472,18.0198564212,17.0662916796,17.1330605242667,0.621736694226481,2.80811715334846,1.58663409412481,1.67216264723325,0.947067968404126,3.2470726198436,2.08156336147405,2.69715765563308
"75",2054,17.83673958,17.65727542,18.92472167,18.64065107,16.96631306,16.84508891,NA,16.773587792,17.8382925712,15.9978628796,16.8699144142667,1.21169065874528,2.57554021623321,0.218014196332817,1.3350816904371,1.84572250788551,2.97814003502835,0.286020806591783,2.1534542756448
"76",2055,18.18873743,17.90856195,19.65170127,19.41431596,17.97262125,17.90196324,NA,17.024874322,18.6119574612,17.0547372096,17.5638563309333,1.53357990864673,3.56657786205206,1.57183322246126,2.22399699772002,2.33604421607192,4.12409336576296,2.06214555601606,3.58725303332816
"77",2056,17.59229406,17.50830358,20.20286296,19.92873797,18.65459979,18.50341777,NA,16.624615952,19.1263794712,17.6561917396,17.8023957209333,1.02086294571968,4.22553445209171,2.34227542448271,2.52955760743137,1.55504187705157,4.88605584251784,3.07291688999893,4.0801148605592
"78",2057,18.15671629,18.10224494,19.32364119,19.04893367,18.28256082,18.16768054,NA,17.218557312,18.2465751712,17.3204545096,17.5951956642667,1.78168103993208,3.09853593694221,1.91220778365576,2.26414158684335,2.71396727666513,3.58288869481436,2.5086954054009,3.65200527861087
"79",2058,18.15327155,18.0963845,20.01221723,19.82653273,18.68685161,18.64226461,NA,17.212696872,19.0241742312,17.7950385796,18.0106365609333,1.77417402140748,4.09461311683511,2.52013336688332,2.79630683504197,2.70253211954978,4.73466932270752,3.30625523676658,4.51037487298956
"80",2059,18.14515119,18.05695802,19.90232035,19.65986516,18.82132394,18.67715544,NA,17.173270392,18.8575066612,17.8299294096,17.9535688209333,1.72367008045428,3.88111779303006,2.56482729893426,2.72320505747286,2.62560137829047,4.4878011250736,3.36489084265829,4.39246348480185
"81",2060,18.54377745,18.40649253,19.32079429,19.04567559,19.04628243,18.96513753,NA,17.522804902,18.2433170912,18.1179114996,17.9613444976,2.17141155405644,3.09436245049501,2.93372227685111,2.73316542713418,3.30762901428552,3.5780628229465,3.84885767099438,4.4085293186664
"82",2061,17.83429295,17.71058894,19.36073362,19.19298643,19.56691027,19.45797047,NA,16.826901312,18.3906279312,18.6107444396,17.9427578942667,1.27998341189209,3.28306248065561,3.56502402383821,2.7093566387953,1.94975027330466,3.79625980969526,4.67708554749653,4.37012632249506
"83",2062,17.57937731,17.524922,18.77074437,18.56492086,19.54193931,19.3527118,NA,16.641234372,17.7625623612,18.5054857696,17.6364275009333,1.04215056009498,2.47853246778056,3.43019135162167,2.31695812649907,1.58746849411601,2.86596836030401,4.50019362802066,3.73719707171316
"84",2063,18.13839168,18.09551253,19.22324868,19.0170821,18.88100828,18.83054034,NA,17.211824902,18.2147236012,17.9833143096,17.8032876042667,1.77305705835644,3.05773519057716,2.76130798736276,2.53070007876545,2.70083069202047,3.53571011245601,3.6226610517975,4.08195763901749
"85",2064,18.70957147,18.65034167,19.98125929,19.67514735,19.38194964,19.22721433,NA,17.766654042,18.8727888512,18.3799882996,18.3398103976,2.48377376767653,3.90069374354341,3.26943348496312,3.21796699872769,3.78343854878218,4.51043712259369,4.28928949672519,5.19050245534057
"86",2065,17.85497737,17.78311253,19.63145309,19.36208808,19.38124224,19.25274065,NA,16.899424902,18.5597295812,18.4055146196,17.9548897009333,1.37288359235643,3.49967577574786,3.30213180746191,2.72489705852207,2.09126160116059,4.0467333694431,4.33218762323538,4.39519264131707
"87",2066,17.37649911,17.26257121,19.86761958,19.53213339,19.30418279,19.24815479,NA,16.378883582,18.7297748912,18.4009287596,17.8365290776,0.706088380382631,3.71749786627201,3.29625748130701,2.57328124265389,1.07555769851207,4.2986046794754,4.32448087966882,4.15064002009895
"88",2067,18.2101774,18.1594062,21.07910475,20.82313373,18.97498704,18.90789645,NA,17.275718572,20.0207752312,18.0606704196,18.4523880742667,1.85490261334798,5.37122411680011,2.86039845680892,3.362175062319,2.82550292740331,6.21083587766575,3.75266146678553,5.42310655241384
"89",2068,18.39116847,18.3712969,20.81158934,20.55555516,19.44971015,19.3564643,NA,17.487609272,19.7531966612,18.5092382696,18.5833480676,2.12632718387348,5.02846533388006,3.43499817278416,3.52993023017923,3.23895370000466,5.81449819000786,4.50649987270181,5.69369155562203
"90",2069,18.57203307,18.48449094,20.51158086,20.29776648,19.84427979,19.7489714,NA,17.600803312,19.4954079812,18.9017453696,18.6659855542667,2.27132478732209,4.69824705740386,3.93778603013567,3.6357859582872,3.45982305997123,5.43266129875165,5.16612567195342,5.86443426891696
"91",2070,18.52477423,18.48118646,20.03224913,19.83517611,19.19652507,19.08419741,NA,17.597498832,19.0328176112,18.2369713796,18.2890959409333,2.26709186409888,4.10568498409681,3.08623381603531,3.15300355474367,3.45337520827671,4.74747190716991,4.04894314334329,5.08571800116818
