"","Year","GCM","ensembleSSB","ensembleRec","ensembleRecDevs","elsSSB","elsRecs","elsRecDevs"
"139",2054,"HAD",490818.284347729,9391915269.57517,0.541034758241827,532498.253677908,9391915269.57517,0.382509165265926
"140",2054,"IPSL",1051200.23675075,7579786961.21996,-1.04308228390921,772568.501444335,3021506305.69896,-2.52591698165174
"141",2055,"GFDL",385111.690873719,7934294119.26781,0.570565506631587,313051.831023543,7934294119.26781,0.876975568829329
"142",2055,"HAD",645388.583051183,3505637191.125,-2.10633712798163,663911.548454344,3372241601.59325,-2.08941434789703
"143",2055,"IPSL",948639.722730732,5179033432.60095,-1.76932842527013,600286.607073556,2114452698.32195,-2.92820404492163
"144",2056,"GFDL",290653.852144379,2243173877.46575,-1.76841478479339,281003.092680029,1918742102.356,-1.92273022089215
"145",2056,"HAD",665792.277765134,10737641285.4142,0.365781483184157,673862.394184816,10737641285.4142,0.325073861910012
"146",2056,"IPSL",692060.671355875,6818714693.3306,-0.713180581406841,396086.359283699,5434287460.40935,-0.308040631613948
"147",2057,"GFDL",298925.800067732,2137177888.16126,-1.9288194888903,300885.471142414,1921081571.46626,-2.03766932528087
"148",2057,"HAD",588325.972439026,10577093897.1942,0.51985464374269,591324.446839227,10577093897.1942,0.478417876640061
"149",2057,"IPSL",465417.728007859,11188471353.58,1.0223411110638,287245.882383336,10311522189.285,1.57501526555774
"150",2058,"GFDL",249703.320859835,7221822864.8967,1.14551103509004,252170.307502058,7221822864.8967,1.05308379766431
"151",2058,"HAD",616875.515215496,15387680687.1073,1.29045896295532,623913.047439726,9962409634.39482,0.275615419609695
"152",2058,"IPSL",410397.043448183,10358666335.6012,1.06088352527523,366331.535284618,6144470054.10445,0.0772402582652091
"153",2059,"GFDL",247385.273119573,3908440245.75848,-0.21834708896989,251130.336758378,3908440245.75848,-0.230549249530195
"154",2059,"HAD",763547.446357699,32534557538.4262,2.66092418316636,711715.799314283,17967607768.1162,1.33249363995322
"155",2059,"IPSL",531277.501198447,9961337445.541,0.545455658743912,478892.001888421,5387479309.30875,-0.62529499771368
"156",2060,"GFDL",303194.073891757,3441285521.675,-0.882884145084766,307243.023975249,3441285521.675,-0.847601739197935
"157",2060,"HAD",1011466.50002875,61787949409.9888,3.72647737422249,844359.114428755,23116498289.2188,1.63707205219179
"158",2060,"IPSL",581722.455269034,23682383667.3395,2.35103751577487,494621.474504518,15078055109.822,1.48913148873833
"159",2061,"GFDL",311834.398299352,3914554645.9715,-0.644094912130213,320750.490944609,3914554645.9715,-0.649561958280146
"160",2061,"HAD",1630113.06836432,45398823940.2868,2.4922658704344,1068344.87074998,11513697577.0567,-0.114469496542276
"161",2061,"IPSL",719563.893608912,45253250387.7169,3.48846046583493,555761.276480725,21769113104.0219,2.08660919255904
"162",2062,"GFDL",292467.016149926,2719479126.7715,-1.34659792716739,303915.5073674,2719479126.7715,-1.32401328848606
"163",2062,"HAD",2174030.90275704,20228641672.5883,0.408314648868616,1179922.89252137,4952373514.9748,-2.00051138593353
"164",2062,"IPSL",1182475.45333947,46330498898.0117,2.88762394623274,829455.545792782,20357831859.7743,1.39266997220064
"165",2063,"GFDL",266817.592245941,1945666068.47733,-1.92996285671821,275652.370421165,1945666068.47733,-1.86012729686205
"166",2063,"HAD",2065094.1699498,12118584311.5486,-0.700504516182372,1010193.632723,3885429221.18861,-2.33304472041231
"167",2063,"IPSL",1745004.37330905,41363227756.2445,2.2160244945365,1126700.80363468,17218857627.5695,0.671058056901507
"168",2064,"GFDL",224144.425948447,5696564507.0105,0.817298400975988,230235.360879624,5696564507.0105,0.715719148006039
"169",2064,"HAD",1452067.32053888,30543059855.121,1.71975395759497,703879.755071523,22073429545.2885,1.78029294700349
"170",2064,"IPSL",2044918.59066079,21513797389.7571,0.599508536052846,1277308.0230155,9385844899.0671,-0.742092735729121
"171",2065,"GFDL",224538.237739143,6014724057.56655,0.9362146482025,228849.760902593,6014724057.56655,0.840778159945915
"172",2065,"HAD",1086805.66467403,26946401265.1742,1.76967735397235,660458.825908704,16910529710.3618,1.30795623196995
"173",2065,"IPSL",1877196.15525744,26264830249.9908,1.12536966005694,1199578.83406506,14016661268.5132,0.168810262194204
"174",2066,"GFDL",287992.315735105,2784821458.553,-1.26480378613843,290655.9435414,2784821458.553,-1.19772577804211
"175",2066,"HAD",1087665.32627599,23031140463.3865,1.41543926202176,933580.146127688,14372435014.989,0.512278116041105
"176",2066,"IPSL",1516184.8673578,21018052305.611,0.833328037497599,1016351.1098271,14292337052.571,0.39835055974522
"177",2067,"GFDL",319339.590269682,2766029889.34014,-1.46859762231888,320456.561926585,2646731672.63814,-1.47091198998137
"178",2067,"HAD",1242704.16030945,28694950667.405,1.75176314686558,1121738.47230546,15554780650.1207,0.462339440417439
"179",2067,"IPSL",1227191.68582779,21283863409.6271,1.09400902816663,950913.034262957,15220892869.3471,0.610433495614759
"180",2068,"GFDL",285875.005295401,8136092669.28579,1.16117368888744,285962.210404816,8136092669.28579,1.08452505728854
"181",2068,"HAD",1451218.85235194,27427821117.11,1.47831294096734,1125558.24410729,20233046631.6413,1.01137256268182
"182",2068,"IPSL",1074264.35328164,19930841143.8697,1.10536780579392,993828.249540627,13646310976.3172,0.327691590200117
"183",2069,"GFDL",298535.593034545,4143983361.81117,-0.436489389587141,298535.593034545,3310482752.68917,-0.880035751207431
"184",2069,"HAD",1630467.93753978,23892852272.78,1.0477055627416,1186200.909011,18250817148.7214,0.736119112804132
"185",2069,"IPSL",1167855.43422095,21860233970.041,1.21223209277005,1004156.13582639,14417179598.0848,0.430929695206907
"186",2070,"GFDL",344392.763899055,13435489916.2769,1.95217993394612,343340.298500438,12013530684.2919,1.59408556632943
"187",2070,"HAD",1662315.33791353,29239627613.3892,1.48287568579849,1270340.21688169,23222910420.0357,1.16851966655979
